Sample,Site,Breeding_pop
Ind0,BC1,WB
Ind1,BC1,WB
Ind2,BC1,WB
Ind3,BC1,WB
Ind4,KY,ST
Ind5,KY,ST
Ind6,KY,ST
Ind7,LA,ST
Ind8,LA,ST
Ind9,LA,ST
Ind10,LA,ST
Ind11,LA,ST
Ind12,LA,ST
Ind13,LA,ST
Ind14,MD,ST
Ind15,MD,ST
Ind16,MD,ST
Ind17,MD,ST
Ind18,MI,NT
Ind19,MI,NT
Ind20,MI,NT
Ind21,MN,NT
Ind22,MN,NT
Ind23,MN,NT
Ind24,MN,NT
Ind25,MN,NT
Ind26,MO,ST
Ind27,MO,ST
Ind28,MO,ST
Ind29,MO,ST
Ind30,MO,ST
Ind31,MO,ST
Ind32,ON,NT
Ind33,ON,NT
Ind34,ON,NT
Ind35,ON,NT
Ind36,PA,ST
Ind37,PA,ST
Ind38,QB,NT
Ind39,QB,NT
Ind40,SD,BR
Ind41,SD,BR
Ind42,SD,BR
Ind43,SD,BR
Ind44,SD,BR
Ind45,SD,BR
Ind46,SK,WB
Ind47,NA,NA
Ind48,BE,NA
Ind49,NA,NA
Ind50,BE,NA
Ind51,BE,NA
Ind52,CR1,NA
Ind53,CR1,NA
Ind54,CR1,NA
Ind55,CR1,NA
Ind56,CR1,NA
Ind57,CR1,NA
Ind58,NA,NA
Ind59,CR1,NA
Ind60,CR1,NA
Ind61,NA,NA
Ind62,CR1,NA
Ind63,CR1,NA
Ind64,CR1,NA
Ind65,CR2,NA
Ind66,CR2,NA
Ind67,CR2,NA
Ind68,CR2,NA
Ind69,CR2,NA
Ind70,CU1,NA
Ind71,CU1,NA
Ind72,CU1,NA
Ind73,CU1,NA
Ind74,CU1,NA
Ind75,CU1,NA
Ind76,CU1,NA
Ind77,CU1,NA
Ind78,CU1,NA
Ind79,CU1,NA
Ind80,CU1,NA
Ind81,CU1,NA
Ind82,JM1,NA
Ind83,NA,NA
Ind84,NA,NA
Ind85,NA,NA
Ind86,JM1,NA
Ind87,NA,NA
Ind88,NA,NA
Ind89,JM2,NA
Ind90,JM2,NA
Ind91,JM2,NA
Ind92,JM2,NA
Ind93,JM2,NA
Ind94,JM2,NA
Ind95,JM2,NA
Ind96,JM2,NA
Ind97,JM2,NA
Ind98,JM2,NA
Ind99,JM2,NA
Ind100,JM2,NA
Ind101,MX1,NA
Ind102,NA,NA
Ind103,MX1,NA
Ind104,MX1,NA
Ind105,MX1,NA
Ind106,MX1,NA
Ind107,MX2,NA
Ind108,MX2,NA
Ind109,MX2,NA
Ind110,MX2,NA
Ind111,MX2,NA
Ind112,MX2,NA
Ind113,MX2,NA
Ind114,MX2,NA
Ind115,CU1,NA
Ind116,CU1,NA
Ind117,CU1,NA
Ind118,CU1,NA
Ind119,CU1,NA
Ind120,CU1,NA
Ind121,BA,NA
Ind122,BA,NA
Ind123,BA,NA
Ind124,BA,NA
Ind125,BA,NA
Ind126,BA,NA
Ind127,BA,NA
Ind128,BA,NA
Ind129,BA,NA
Ind130,BA,NA
Ind131,BA,NA
Ind132,BA,NA
Ind133,NA,NA
Ind134,PR,NA
Ind135,PR,NA
Ind136,PR,NA
Ind137,PR,NA
Ind138,PR,NA
Ind139,PR,NA
Ind140,SM,NA
Ind141,SM,NA
Ind142,SM,NA
Ind143,SM,NA
Ind144,SM,NA
Ind145,SM,NA
Ind146,SM,NA
Ind147,SM,NA
Ind148,SM,NA
Ind149,SM,NA
Ind150,DR,NA
Ind151,DR,NA
Ind152,DR,NA
Ind153,DR,NA
Ind154,DR,NA
Ind155,NA,NA
Ind156,DR,NA
Ind157,DR,NA
Ind158,PR,NA
Ind159,NA,NA
Ind160,PR,NA
Ind161,MX,NA
Ind162,MX,NA
Ind163,MX,NA
Ind164,MX,NA
Ind165,MX,NA
Ind166,MX,NA
Ind167,MX,NA
Ind168,MX,NA
Ind169,MX,NA
Ind170,MX,NA
Ind171,CO,NA
Ind172,CO,NA
Ind173,CO,NA
Ind174,CO,NA
Ind175,CO,NA
Ind176,CO,NA
Ind177,CO,NA
Ind178,CO,NA
Ind179,CO,NA
Ind180,CO,NA
Ind181,CO,NA
Ind182,CO,NA
Ind183,TR,NA
Ind184,TR,NA
Ind185,TR,NA
Ind186,TR,NA
Ind187,TR,NA
Ind188,TR,NA
Ind189,TR,NA
Ind190,TR,NA
Ind191,TR,NA
Ind192,TR,NA
Ind193,TR,NA
Ind194,TR,NA
Ind195,BC1,WB
Ind196,BC1,WB
Ind197,BC1,WB
